is_valid,lap_number,rider_name,rider_number,sector_number,sector_time,time_seconds
True,11,Scott OGDEN,19,3,22.933,22.933
True,11,Scott OGDEN,19,4,27.320,27.32
True,12,Scott OGDEN,19,1,23.231,23.231
True,12,Scott OGDEN,19,2,27.003,27.003
True,12,Scott OGDEN,19,3,23.200,23.2
True,12,Scott OGDEN,19,4,27.370,27.37
True,13,Scott OGDEN,19,1,22.972,22.972
True,13,Scott OGDEN,19,2,26.680,26.68
True,13,Scott OGDEN,19,3,22.875,22.875
True,13,Scott OGDEN,19,4,27.226,27.226
True,14,Scott OGDEN,19,1,23.440,23.44
True,14,Scott OGDEN,19,2,27.681,27.681
True,14,Scott OGDEN,19,3,23.463,23.463
True,14,Scott OGDEN,19,4,35.572,35.572
True,15,Scott OGDEN,19,1,25.293,25.293
True,15,Scott OGDEN,19,2,28.022,28.022
True,15,Scott OGDEN,19,3,23.364,23.364
True,15,Scott OGDEN,19,4,27.419,27.419
True,16,Scott OGDEN,19,1,22.866,22.866
True,16,Scott OGDEN,19,2,26.697,26.697
True,16,Scott OGDEN,19,3,22.817,22.817
True,16,Scott OGDEN,19,4,27.120,27.12
True,18,Scott OGDEN,19,1,22.953,22.953
True,18,Scott OGDEN,19,2,26.729,26.729
True,18,Scott OGDEN,19,3,22.773,22.773
True,18,Scott OGDEN,19,4,26.847,26.847
True,1,Casey O'GORMAN,67,1,25.395,25.395
True,1,Casey O'GORMAN,67,2,30.512,30.512
True,1,Casey O'GORMAN,67,3,25.002,25.002
True,1,Casey O'GORMAN,67,4,28.861,28.861
True,2,Casey O'GORMAN,67,1,24.374,24.374
True,2,Casey O'GORMAN,67,2,28.955,28.955
True,2,Casey O'GORMAN,67,3,23.768,23.768
True,2,Casey O'GORMAN,67,4,27.988,27.988
True,3,Casey O'GORMAN,67,1,23.779,23.779
True,3,Casey O'GORMAN,67,2,27.786,27.786
True,3,Casey O'GORMAN,67,3,23.644,23.644
True,3,Casey O'GORMAN,67,4,28.069,28.069
True,4,Casey O'GORMAN,67,1,23.596,23.596
True,4,Casey O'GORMAN,67,2,27.475,27.475
True,4,Casey O'GORMAN,67,3,23.609,23.609
True,4,Casey O'GORMAN,67,4,27.631,27.631
True,5,Casey O'GORMAN,67,1,23.307,23.307
True,5,Casey O'GORMAN,67,2,27.424,27.424
True,5,Casey O'GORMAN,67,3,23.554,23.554
True,5,Casey O'GORMAN,67,4,27.653,27.653
True,6,Casey O'GORMAN,67,1,23.477,23.477
True,6,Casey O'GORMAN,67,2,27.570,27.57
True,6,Casey O'GORMAN,67,3,23.324,23.324
True,6,Casey O'GORMAN,67,4,27.521,27.521
True,7,Casey O'GORMAN,67,1,23.195,23.195
True,7,Casey O'GORMAN,67,2,27.169,27.169
True,7,Casey O'GORMAN,67,3,23.264,23.264
True,7,Casey O'GORMAN,67,4,27.466,27.466
True,8,Casey O'GORMAN,67,1,23.123,23.123
True,8,Casey O'GORMAN,67,2,27.096,27.096
True,8,Casey O'GORMAN,67,3,23.061,23.061
True,8,Casey O'GORMAN,67,4,27.438,27.438
True,9,Casey O'GORMAN,67,1,23.089,23.089
True,9,Casey O'GORMAN,67,2,27.094,27.094
True,9,Casey O'GORMAN,67,3,23.143,23.143
True,9,Casey O'GORMAN,67,4,27.530,27.53
True,10,Casey O'GORMAN,67,1,23.131,23.131
True,10,Casey O'GORMAN,67,2,28.848,28.848
True,10,Casey O'GORMAN,67,3,23.060,23.06
True,10,Casey O'GORMAN,67,4,27.391,27.391
True,11,Casey O'GORMAN,67,1,23.084,23.084
True,11,Casey O'GORMAN,67,2,27.016,27.016
True,11,Casey O'GORMAN,67,3,23.017,23.017
True,11,Casey O'GORMAN,67,4,27.385,27.385
True,12,Casey O'GORMAN,67,1,23.895,23.895
True,12,Casey O'GORMAN,67,2,27.676,27.676
True,12,Casey O'GORMAN,67,3,23.306,23.306
True,12,Casey O'GORMAN,67,4,35.672,35.672
True,13,Casey O'GORMAN,67,1,24.988,24.988
True,13,Casey O'GORMAN,67,2,28.639,28.639
True,13,Casey O'GORMAN,67,3,23.571,23.571
True,13,Casey O'GORMAN,67,4,27.834,27.834
True,14,Casey O'GORMAN,67,1,23.130,23.13
True,14,Casey O'GORMAN,67,2,27.100,27.1
True,14,Casey O'GORMAN,67,3,23.011,23.011
True,14,Casey O'GORMAN,67,4,27.280,27.28
True,15,Casey O'GORMAN,67,1,22.930,22.93
True,15,Casey O'GORMAN,67,2,26.933,26.933
True,15,Casey O'GORMAN,67,3,22.780,22.78
True,15,Casey O'GORMAN,67,4,27.203,27.203
True,16,Casey O'GORMAN,67,1,23.502,23.502
True,16,Casey O'GORMAN,67,2,27.033,27.033
True,16,Casey O'GORMAN,67,3,22.923,22.923
True,16,Casey O'GORMAN,67,4,27.127,27.127
True,18,Casey O'GORMAN,67,1,22.924,22.924
True,18,Casey O'GORMAN,67,2,26.686,26.686
True,18,Casey O'GORMAN,67,3,22.774,22.774
True,18,Casey O'GORMAN,67,4,27.032,27.032
True,1,Casey O'GORMAN,67,1,27.420,27.42
True,1,Casey O'GORMAN,67,2,30.331,30.331
True,1,Casey O'GORMAN,67,3,25.217,25.217
True,1,Casey O'GORMAN,67,4,29.011,29.011
